,ECG I,ECG I filtered
0 days 00:00:00.286000,0.115,0.04
0 days 00:00:00.288000,0.1,0.045
0 days 00:00:00.290000,0.095,0.05
0 days 00:00:00.292000,0.095,0.05
0 days 00:00:00.294000,0.095,0.05
0 days 00:00:00.296000,0.1,0.05
0 days 00:00:00.298000,0.11,0.055
0 days 00:00:00.300000,0.12,0.055
0 days 00:00:00.302000,0.125,0.06
0 days 00:00:00.304000,0.14,0.06
0 days 00:00:00.306000,0.135,0.065
0 days 00:00:00.308000,0.115,0.065
0 days 00:00:00.310000,0.115,0.07
0 days 00:00:00.312000,0.115,0.07
0 days 00:00:00.314000,0.115,0.07
0 days 00:00:00.316000,0.125,0.07
0 days 00:00:00.318000,0.13,0.07
0 days 00:00:00.320000,0.125,0.065
0 days 00:00:00.322000,0.14,0.065
0 days 00:00:00.324000,0.14,0.065
0 days 00:00:00.326000,0.14,0.06
0 days 00:00:00.328000,0.13,0.06
0 days 00:00:00.330000,0.105,0.06
0 days 00:00:00.332000,0.1,0.065
0 days 00:00:00.334000,0.1,0.065
0 days 00:00:00.336000,0.13,0.07
0 days 00:00:00.338000,0.14,0.07
0 days 00:00:00.340000,0.135,0.07
0 days 00:00:00.342000,0.15,0.075
0 days 00:00:00.344000,0.145,0.075
0 days 00:00:00.346000,0.13,0.075
0 days 00:00:00.348000,0.125,0.075
0 days 00:00:00.350000,0.125,0.07
0 days 00:00:00.352000,0.115,0.07
0 days 00:00:00.354000,0.12,0.07
0 days 00:00:00.356000,0.125,0.07
0 days 00:00:00.358000,0.14,0.065
0 days 00:00:00.360000,0.14,0.065
0 days 00:00:00.362000,0.15,0.065
0 days 00:00:00.364000,0.145,0.065
0 days 00:00:00.366000,0.14,0.065
0 days 00:00:00.368000,0.135,0.065
0 days 00:00:00.370000,0.14,0.06
0 days 00:00:00.372000,0.125,0.06
0 days 00:00:00.374000,0.125,0.06
0 days 00:00:00.376000,0.135,0.065
0 days 00:00:00.378000,0.145,0.065
0 days 00:00:00.380000,0.145,0.065
0 days 00:00:00.382000,0.14,0.07
0 days 00:00:00.384000,0.135,0.07
0 days 00:00:00.386000,0.12,0.075
0 days 00:00:00.388000,0.12,0.075
0 days 00:00:00.390000,0.11,0.075
0 days 00:00:00.392000,0.115,0.075
0 days 00:00:00.394000,0.12,0.07
0 days 00:00:00.396000,0.135,0.07
0 days 00:00:00.398000,0.135,0.065
0 days 00:00:00.400000,0.13,0.065
0 days 00:00:00.402000,0.135,0.06
0 days 00:00:00.404000,0.13,0.055
0 days 00:00:00.406000,0.11,0.055
0 days 00:00:00.408000,0.11,0.055
0 days 00:00:00.410000,0.11,0.05
0 days 00:00:00.412000,0.105,0.05
0 days 00:00:00.414000,0.115,0.05
0 days 00:00:00.416000,0.125,0.05
0 days 00:00:00.418000,0.13,0.05
0 days 00:00:00.420000,0.115,0.045
0 days 00:00:00.422000,0.12,0.045
0 days 00:00:00.424000,0.115,0.045
0 days 00:00:00.426000,0.105,0.04
0 days 00:00:00.428000,0.1,0.035
0 days 00:00:00.430000,0.105,0.035
0 days 00:00:00.432000,0.09,0.03
0 days 00:00:00.434000,0.1,0.03
0 days 00:00:00.436000,0.105,0.025
0 days 00:00:00.438000,0.11,0.025
0 days 00:00:00.440000,0.12,0.03
0 days 00:00:00.442000,0.135,0.03
0 days 00:00:00.444000,0.12,0.035
0 days 00:00:00.446000,0.11,0.04
0 days 00:00:00.448000,0.095,0.045
0 days 00:00:00.450000,0.1,0.045
0 days 00:00:00.452000,0.095,0.045
0 days 00:00:00.454000,0.1,0.045
0 days 00:00:00.456000,0.11,0.045
0 days 00:00:00.458000,0.11,0.045
0 days 00:00:00.460000,0.115,0.045
0 days 00:00:00.462000,0.115,0.045
0 days 00:00:00.464000,0.095,0.05
0 days 00:00:00.466000,0.08,0.05
0 days 00:00:00.468000,0.075,0.05
0 days 00:00:00.470000,0.07,0.05
0 days 00:00:00.472000,0.07,0.045
0 days 00:00:00.474000,0.075,0.04
0 days 00:00:00.476000,0.09,0.035
0 days 00:00:00.478000,0.085,0.03
0 days 00:00:00.480000,0.1,0.02
0 days 00:00:00.482000,0.125,0.02
0 days 00:00:00.484000,0.11,0.02
0 days 00:00:00.486000,0.105,0.02
0 days 00:00:00.488000,0.075,0.025
0 days 00:00:00.490000,0.08,0.035
0 days 00:00:00.492000,0.065,0.04
0 days 00:00:00.494000,0.075,0.04
0 days 00:00:00.496000,0.08,0.045
0 days 00:00:00.498000,0.09,0.045
0 days 00:00:00.500000,0.1,0.04
0 days 00:00:00.502000,0.115,0.035
0 days 00:00:00.504000,0.105,0.03
0 days 00:00:00.506000,0.09,0.025
0 days 00:00:00.508000,0.085,0.025
0 days 00:00:00.510000,0.09,0.03
0 days 00:00:00.512000,0.085,0.03
0 days 00:00:00.514000,0.095,0.035
0 days 00:00:00.516000,0.11,0.045
0 days 00:00:00.518000,0.135,0.05
0 days 00:00:00.520000,0.13,0.055
0 days 00:00:00.522000,0.135,0.06
0 days 00:00:00.524000,0.125,0.06
0 days 00:00:00.526000,0.12,0.06
0 days 00:00:00.528000,0.11,0.065
0 days 00:00:00.530000,0.105,0.06
0 days 00:00:00.532000,0.095,0.06
0 days 00:00:00.534000,0.11,0.06
0 days 00:00:00.536000,0.14,0.055
0 days 00:00:00.538000,0.135,0.055
0 days 00:00:00.540000,0.14,0.05
0 days 00:00:00.542000,0.14,0.045
0 days 00:00:00.544000,0.13,0.045
0 days 00:00:00.546000,0.125,0.04
0 days 00:00:00.548000,0.12,0.045
0 days 00:00:00.550000,0.105,0.05
0 days 00:00:00.552000,0.1,0.055
0 days 00:00:00.554000,0.12,0.06
0 days 00:00:00.556000,0.15,0.07
0 days 00:00:00.558000,0.16,0.075
0 days 00:00:00.560000,0.16,0.08
0 days 00:00:00.562000,0.17,0.085
0 days 00:00:00.564000,0.16,0.08
0 days 00:00:00.566000,0.12,0.075
0 days 00:00:00.568000,0.115,0.07
0 days 00:00:00.570000,0.115,0.065
0 days 00:00:00.572000,0.095,0.055
0 days 00:00:00.574000,0.095,0.05
0 days 00:00:00.576000,0.1,0.045
0 days 00:00:00.578000,0.095,0.04
0 days 00:00:00.580000,0.09,0.04
0 days 00:00:00.582000,0.09,0.035
0 days 00:00:00.584000,0.085,0.03
0 days 00:00:00.586000,0.055,0.02
0 days 00:00:00.588000,0.065,0.015
0 days 00:00:00.590000,0.06,0.01
0 days 00:00:00.592000,0.065,0.01
0 days 00:00:00.594000,0.075,0.005
0 days 00:00:00.596000,0.08,0.005
0 days 00:00:00.598000,0.08,0.01
0 days 00:00:00.600000,0.095,0.015
0 days 00:00:00.602000,0.075,0.015
0 days 00:00:00.604000,0.055,0.02
0 days 00:00:00.606000,0.05,0.02
0 days 00:00:00.608000,0.045,0.02
0 days 00:00:00.610000,0.035,0.02
0 days 00:00:00.612000,0.045,0.02
0 days 00:00:00.614000,0.045,0.015
0 days 00:00:00.616000,0.055,0.015
0 days 00:00:00.618000,0.06,0.015
0 days 00:00:00.620000,0.06,0.01
0 days 00:00:00.622000,0.06,0.01
0 days 00:00:00.624000,0.06,0.005
0 days 00:00:00.626000,0.05,0.005
0 days 00:00:00.628000,0.035,0.0
0 days 00:00:00.630000,0.02,-0.005
0 days 00:00:00.632000,0.025,-0.01
0 days 00:00:00.634000,0.035,-0.01
0 days 00:00:00.636000,0.045,-0.01
0 days 00:00:00.638000,0.055,-0.01
0 days 00:00:00.640000,0.06,-0.01
0 days 00:00:00.642000,0.055,-0.01
0 days 00:00:00.644000,0.035,-0.01
0 days 00:00:00.646000,0.025,-0.01
0 days 00:00:00.648000,0.03,-0.015
0 days 00:00:00.650000,0.02,-0.015
0 days 00:00:00.652000,0.03,-0.02
0 days 00:00:00.654000,0.05,-0.025
0 days 00:00:00.656000,0.03,-0.03
0 days 00:00:00.658000,0.04,-0.03
0 days 00:00:00.660000,0.05,-0.03
0 days 00:00:00.662000,0.04,-0.03
0 days 00:00:00.664000,0.025,-0.03
0 days 00:00:00.666000,0.0,-0.025
0 days 00:00:00.668000,-0.01,-0.025
0 days 00:00:00.670000,-0.025,-0.03
0 days 00:00:00.672000,-0.03,-0.035
0 days 00:00:00.674000,-0.025,-0.04
0 days 00:00:00.676000,-0.015,-0.045
0 days 00:00:00.678000,-0.005,-0.045
0 days 00:00:00.680000,0.03,-0.035
0 days 00:00:00.682000,0.065,-0.015
0 days 00:00:00.684000,0.11,0.025
0 days 00:00:00.686000,0.16,0.075
0 days 00:00:00.688000,0.2,0.14
0 days 00:00:00.690000,0.255,0.22
0 days 00:00:00.692000,0.335,0.305
0 days 00:00:00.694000,0.425,0.39
0 days 00:00:00.696000,0.53,0.47
0 days 00:00:00.698000,0.645,0.535
0 days 00:00:00.700000,0.72,0.59
0 days 00:00:00.702000,0.735,0.62
0 days 00:00:00.704000,0.685,0.625
0 days 00:00:00.706000,0.63,0.6
0 days 00:00:00.708000,0.57,0.555
0 days 00:00:00.710000,0.485,0.485
0 days 00:00:00.712000,0.41,0.395
0 days 00:00:00.714000,0.335,0.295
0 days 00:00:00.716000,0.23,0.19
0 days 00:00:00.718000,0.1,0.09
0 days 00:00:00.720000,0.01,0.0
0 days 00:00:00.722000,-0.06,-0.07
0 days 00:00:00.724000,-0.1,-0.12
0 days 00:00:00.726000,-0.1,-0.145
0 days 00:00:00.728000,-0.09,-0.15
0 days 00:00:00.730000,-0.085,-0.14
0 days 00:00:00.732000,-0.06,-0.115
0 days 00:00:00.734000,-0.02,-0.09
0 days 00:00:00.736000,0.01,-0.06
0 days 00:00:00.738000,0.035,-0.04
0 days 00:00:00.740000,0.04,-0.025
0 days 00:00:00.742000,0.035,-0.015
0 days 00:00:00.744000,0.015,-0.015
0 days 00:00:00.746000,-0.005,-0.02
0 days 00:00:00.748000,-0.02,-0.025
0 days 00:00:00.750000,-0.025,-0.035
0 days 00:00:00.752000,-0.01,-0.035
0 days 00:00:00.754000,0.0,-0.04
0 days 00:00:00.756000,0.005,-0.04
0 days 00:00:00.758000,0.025,-0.04
0 days 00:00:00.760000,0.025,-0.04
0 days 00:00:00.762000,0.02,-0.035
0 days 00:00:00.764000,0.0,-0.035
0 days 00:00:00.766000,0.005,-0.035
0 days 00:00:00.768000,-0.015,-0.04
0 days 00:00:00.770000,-0.02,-0.04
0 days 00:00:00.772000,-0.01,-0.04
0 days 00:00:00.774000,-0.01,-0.045
0 days 00:00:00.776000,0.0,-0.045
0 days 00:00:00.778000,0.01,-0.045
0 days 00:00:00.780000,0.0,-0.045
0 days 00:00:00.782000,0.005,-0.045
0 days 00:00:00.784000,0.005,-0.045
0 days 00:00:00.786000,-0.005,-0.04
0 days 00:00:00.788000,0.0,-0.04
0 days 00:00:00.790000,-0.01,-0.035
0 days 00:00:00.792000,0.0,-0.03
0 days 00:00:00.794000,0.015,-0.03
0 days 00:00:00.796000,0.02,-0.025
0 days 00:00:00.798000,0.025,-0.025
0 days 00:00:00.800000,0.04,-0.025
0 days 00:00:00.802000,0.025,-0.025
0 days 00:00:00.804000,0.01,-0.025
0 days 00:00:00.806000,0.0,-0.025
0 days 00:00:00.808000,-0.005,-0.025
0 days 00:00:00.810000,-0.005,-0.025
0 days 00:00:00.812000,0.005,-0.03
0 days 00:00:00.814000,0.025,-0.03
0 days 00:00:00.816000,0.025,-0.03
0 days 00:00:00.818000,0.03,-0.03
0 days 00:00:00.820000,0.025,-0.025
0 days 00:00:00.822000,0.01,-0.025
0 days 00:00:00.824000,0.02,-0.02
0 days 00:00:00.826000,0.005,-0.02
0 days 00:00:00.828000,0.01,-0.015
0 days 00:00:00.830000,0.005,-0.01
0 days 00:00:00.832000,0.015,-0.01
0 days 00:00:00.834000,0.02,-0.01
0 days 00:00:00.836000,0.035,-0.01
0 days 00:00:00.838000,0.04,-0.01
0 days 00:00:00.840000,0.05,-0.01
0 days 00:00:00.842000,0.05,-0.01
0 days 00:00:00.844000,0.045,-0.01
0 days 00:00:00.846000,0.04,-0.01
0 days 00:00:00.848000,0.025,-0.005
0 days 00:00:00.850000,0.03,0.0
0 days 00:00:00.852000,0.03,0.005
0 days 00:00:00.854000,0.04,0.01
0 days 00:00:00.856000,0.045,0.015
0 days 00:00:00.858000,0.055,0.02
0 days 00:00:00.860000,0.06,0.025
0 days 00:00:00.862000,0.065,0.025
0 days 00:00:00.864000,0.065,0.03
0 days 00:00:00.866000,0.07,0.03
0 days 00:00:00.868000,0.07,0.035
0 days 00:00:00.870000,0.065,0.04
0 days 00:00:00.872000,0.08,0.045
0 days 00:00:00.874000,0.095,0.05
0 days 00:00:00.876000,0.105,0.055
0 days 00:00:00.878000,0.105,0.065
0 days 00:00:00.880000,0.12,0.07
0 days 00:00:00.882000,0.115,0.07
0 days 00:00:00.884000,0.115,0.075
0 days 00:00:00.886000,0.11,0.075
0 days 00:00:00.888000,0.1,0.075
0 days 00:00:00.890000,0.1,0.075
0 days 00:00:00.892000,0.115,0.075
0 days 00:00:00.894000,0.13,0.08
0 days 00:00:00.896000,0.15,0.085
0 days 00:00:00.898000,0.155,0.09
0 days 00:00:00.900000,0.16,0.095
0 days 00:00:00.902000,0.15,0.105
0 days 00:00:00.904000,0.16,0.115
0 days 00:00:00.906000,0.165,0.12
0 days 00:00:00.908000,0.155,0.13
0 days 00:00:00.910000,0.16,0.135
0 days 00:00:00.912000,0.175,0.14
0 days 00:00:00.914000,0.2,0.14
0 days 00:00:00.916000,0.205,0.145
0 days 00:00:00.918000,0.21,0.145
0 days 00:00:00.920000,0.205,0.145
0 days 00:00:00.922000,0.195,0.145
0 days 00:00:00.924000,0.185,0.145
0 days 00:00:00.926000,0.18,0.15
0 days 00:00:00.928000,0.18,0.15
0 days 00:00:00.930000,0.18,0.155
0 days 00:00:00.932000,0.18,0.16
0 days 00:00:00.934000,0.2,0.165
0 days 00:00:00.936000,0.205,0.17
0 days 00:00:00.938000,0.205,0.175
0 days 00:00:00.940000,0.195,0.175
0 days 00:00:00.942000,0.17,0.17
0 days 00:00:00.944000,0.15,0.165
0 days 00:00:00.946000,0.135,0.155
0 days 00:00:00.948000,0.13,0.14
0 days 00:00:00.950000,0.125,0.13
0 days 00:00:00.952000,0.13,0.12
0 days 00:00:00.954000,0.115,0.115
0 days 00:00:00.956000,0.13,0.11
0 days 00:00:00.958000,0.13,0.105
0 days 00:00:00.960000,0.115,0.1
0 days 00:00:00.962000,0.095,0.095
0 days 00:00:00.964000,0.08,0.085
0 days 00:00:00.966000,0.07,0.075
0 days 00:00:00.968000,0.055,0.06
0 days 00:00:00.970000,0.03,0.045
0 days 00:00:00.972000,0.015,0.03
0 days 00:00:00.974000,0.025,0.015
0 days 00:00:00.976000,0.025,0.005
0 days 00:00:00.978000,0.02,-0.005
0 days 00:00:00.980000,0.01,-0.005
0 days 00:00:00.982000,-0.005,-0.005
0 days 00:00:00.984000,-0.02,-0.005
0 days 00:00:00.986000,-0.025,-0.005
0 days 00:00:00.988000,-0.035,-0.005
0 days 00:00:00.990000,-0.03,-0.01
0 days 00:00:00.992000,-0.01,-0.015
0 days 00:00:00.994000,0.0,-0.025
0 days 00:00:00.996000,-0.01,-0.035
0 days 00:00:00.998000,-0.005,-0.04
0 days 00:00:01,-0.01,-0.045
0 days 00:00:01.002000,-0.03,-0.05
0 days 00:00:01.004000,-0.04,-0.05
0 days 00:00:01.006000,-0.055,-0.05
0 days 00:00:01.008000,-0.065,-0.045
0 days 00:00:01.010000,-0.055,-0.05
0 days 00:00:01.012000,-0.04,-0.05
0 days 00:00:01.014000,-0.045,-0.055
0 days 00:00:01.016000,-0.025,-0.06
0 days 00:00:01.018000,-0.035,-0.07
0 days 00:00:01.020000,-0.03,-0.075
0 days 00:00:01.022000,-0.05,-0.075
0 days 00:00:01.024000,-0.055,-0.08
0 days 00:00:01.026000,-0.06,-0.08
0 days 00:00:01.028000,-0.06,-0.075
0 days 00:00:01.030000,-0.045,-0.07
0 days 00:00:01.032000,-0.045,-0.065
0 days 00:00:01.034000,-0.035,-0.06
0 days 00:00:01.036000,-0.02,-0.06
0 days 00:00:01.038000,-0.03,-0.055
0 days 00:00:01.040000,-0.03,-0.055
0 days 00:00:01.042000,-0.05,-0.055
0 days 00:00:01.044000,-0.055,-0.055
0 days 00:00:01.046000,-0.055,-0.055
0 days 00:00:01.048000,-0.06,-0.055
0 days 00:00:01.050000,-0.055,-0.055
0 days 00:00:01.052000,-0.05,-0.055
0 days 00:00:01.054000,-0.04,-0.055
0 days 00:00:01.056000,-0.055,-0.06
0 days 00:00:01.058000,-0.03,-0.06
0 days 00:00:01.060000,-0.055,-0.065
0 days 00:00:01.062000,-0.05,-0.065
0 days 00:00:01.064000,-0.05,-0.065
0 days 00:00:01.066000,-0.06,-0.065
0 days 00:00:01.068000,-0.06,-0.06
0 days 00:00:01.070000,-0.045,-0.06
0 days 00:00:01.072000,-0.04,-0.055
0 days 00:00:01.074000,-0.04,-0.055
0 days 00:00:01.076000,-0.04,-0.055
0 days 00:00:01.078000,-0.04,-0.05
0 days 00:00:01.080000,-0.05,-0.055
0 days 00:00:01.082000,-0.055,-0.055
0 days 00:00:01.084000,-0.055,-0.055
0 days 00:00:01.086000,-0.06,-0.06
0 days 00:00:01.088000,-0.055,-0.06
0 days 00:00:01.090000,-0.03,-0.06
0 days 00:00:01.092000,-0.03,-0.06
0 days 00:00:01.094000,-0.025,-0.06
0 days 00:00:01.096000,-0.02,-0.06
0 days 00:00:01.098000,-0.015,-0.065
0 days 00:00:01.100000,-0.025,-0.065
0 days 00:00:01.102000,-0.035,-0.065
0 days 00:00:01.104000,-0.045,-0.07
0 days 00:00:01.106000,-0.05,-0.07
0 days 00:00:01.108000,-0.055,-0.07
0 days 00:00:01.110000,-0.045,-0.07
0 days 00:00:01.112000,-0.04,-0.065
0 days 00:00:01.114000,-0.02,-0.065
0 days 00:00:01.116000,-0.015,-0.06
0 days 00:00:01.118000,-0.01,-0.055
0 days 00:00:01.120000,-0.015,-0.055
0 days 00:00:01.122000,-0.02,-0.05
0 days 00:00:01.124000,-0.03,-0.055
0 days 00:00:01.126000,-0.035,-0.055
0 days 00:00:01.128000,-0.04,-0.055
0 days 00:00:01.130000,-0.03,-0.06
0 days 00:00:01.132000,-0.03,-0.06
0 days 00:00:01.134000,-0.025,-0.06
0 days 00:00:01.136000,-0.015,-0.06
0 days 00:00:01.138000,-0.015,-0.055
0 days 00:00:01.140000,-0.025,-0.055
0 days 00:00:01.142000,-0.02,-0.05
0 days 00:00:01.144000,-0.035,-0.045
0 days 00:00:01.146000,-0.04,-0.04
0 days 00:00:01.148000,-0.045,-0.04
0 days 00:00:01.150000,-0.045,-0.035
0 days 00:00:01.152000,-0.03,-0.035
0 days 00:00:01.154000,-0.025,-0.035
0 days 00:00:01.156000,-0.005,-0.035
0 days 00:00:01.158000,-0.01,-0.035
0 days 00:00:01.160000,-0.03,-0.035
0 days 00:00:01.162000,-0.03,-0.035
0 days 00:00:01.164000,-0.035,-0.035
0 days 00:00:01.166000,-0.05,-0.035
0 days 00:00:01.168000,-0.06,-0.03
0 days 00:00:01.170000,-0.04,-0.03
0 days 00:00:01.172000,-0.04,-0.03
0 days 00:00:01.174000,-0.03,-0.035
0 days 00:00:01.176000,-0.02,-0.035
0 days 00:00:01.178000,-0.025,-0.035
0 days 00:00:01.180000,-0.04,-0.04
0 days 00:00:01.182000,-0.045,-0.045
0 days 00:00:01.184000,-0.02,-0.045
0 days 00:00:01.186000,-0.05,-0.05
0 days 00:00:01.188000,-0.055,-0.05
0 days 00:00:01.190000,-0.04,-0.05
0 days 00:00:01.192000,-0.03,-0.05
0 days 00:00:01.194000,-0.035,-0.05
0 days 00:00:01.196000,-0.015,-0.05
0 days 00:00:01.198000,-0.02,-0.05
0 days 00:00:01.200000,-0.04,-0.05
0 days 00:00:01.202000,-0.05,-0.05
0 days 00:00:01.204000,-0.055,-0.055
0 days 00:00:01.206000,-0.06,-0.055
0 days 00:00:01.208000,-0.06,-0.06
0 days 00:00:01.210000,-0.055,-0.06
0 days 00:00:01.212000,-0.04,-0.065
0 days 00:00:01.214000,-0.04,-0.065
0 days 00:00:01.216000,-0.035,-0.065
0 days 00:00:01.218000,-0.02,-0.06
0 days 00:00:01.220000,-0.035,-0.06
0 days 00:00:01.222000,-0.045,-0.06
0 days 00:00:01.224000,-0.05,-0.06
0 days 00:00:01.226000,-0.07,-0.06
0 days 00:00:01.228000,-0.07,-0.06
0 days 00:00:01.230000,-0.05,-0.06
0 days 00:00:01.232000,-0.045,-0.06
0 days 00:00:01.234000,-0.035,-0.06
0 days 00:00:01.236000,-0.035,-0.06
0 days 00:00:01.238000,-0.035,-0.06
0 days 00:00:01.240000,-0.045,-0.06
0 days 00:00:01.242000,-0.055,-0.055
0 days 00:00:01.244000,-0.05,-0.05
0 days 00:00:01.246000,-0.05,-0.05
0 days 00:00:01.248000,-0.04,-0.045
0 days 00:00:01.250000,-0.035,-0.045
0 days 00:00:01.252000,-0.025,-0.04
0 days 00:00:01.254000,-0.005,-0.04
0 days 00:00:01.256000,-0.01,-0.04
0 days 00:00:01.258000,-0.025,-0.035
0 days 00:00:01.260000,-0.04,-0.035
0 days 00:00:01.262000,-0.03,-0.03
0 days 00:00:01.264000,-0.035,-0.03
0 days 00:00:01.266000,-0.04,-0.025
0 days 00:00:01.268000,-0.04,-0.025
0 days 00:00:01.270000,-0.025,-0.02
0 days 00:00:01.272000,-0.015,-0.02
0 days 00:00:01.274000,-0.01,-0.02
0 days 00:00:01.276000,0.015,-0.02
